               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.021949,           0.0044767,          7.4499e-05,             0.93593,             0.90505,             0.94668,             0.64936,            0.021124,           0.0036655,          5.1974e-05,            0.005446,            0.005446,            0.005446
                  48,             0.02241,           0.0045274,          7.6446e-05,             0.92964,             0.90039,             0.94424,             0.64849,            0.021158,           0.0037156,          5.2539e-05,            0.005347,            0.005347,            0.005347
                  49,            0.021703,           0.0044642,          7.4484e-05,              0.9336,             0.89393,             0.94495,             0.65293,            0.021058,           0.0036984,          5.3331e-05,            0.005248,            0.005248,            0.005248
                  50,            0.022218,            0.004476,          7.4842e-05,             0.93055,             0.90551,             0.94586,              0.6534,            0.021064,           0.0036708,          5.2188e-05,            0.005149,            0.005149,            0.005149
                  51,            0.021868,           0.0044143,          7.1034e-05,             0.93402,             0.90424,              0.9465,             0.65891,            0.020925,           0.0036112,          5.0675e-05,             0.00505,             0.00505,             0.00505
                  52,            0.022243,           0.0045024,          7.4044e-05,             0.93757,              0.9035,             0.94688,             0.66026,            0.020684,             0.00361,          4.9713e-05,            0.004951,            0.004951,            0.004951
                  53,            0.021655,           0.0044416,          7.1269e-05,             0.93397,             0.89536,             0.94674,             0.66271,            0.020527,             0.00366,          4.9333e-05,            0.004852,            0.004852,            0.004852
                  54,            0.021819,           0.0044182,          7.1476e-05,             0.93858,              0.9022,             0.94602,             0.65808,            0.020658,            0.003624,          5.1996e-05,            0.004753,            0.004753,            0.004753
                  55,            0.021715,           0.0043535,          7.2337e-05,             0.92632,             0.91503,             0.94763,             0.65923,            0.020593,           0.0035907,          4.8682e-05,            0.004654,            0.004654,            0.004654
                  56,            0.021122,           0.0043609,          6.8079e-05,             0.91542,             0.91731,              0.9475,              0.6602,            0.020689,           0.0035723,          4.6285e-05,            0.004555,            0.004555,            0.004555
                  57,             0.02114,             0.00443,          6.7416e-05,             0.92425,             0.91417,             0.94835,             0.66225,            0.020537,           0.0035668,          4.5592e-05,            0.004456,            0.004456,            0.004456
                  58,             0.02149,           0.0043572,          6.9375e-05,             0.92509,             0.91132,             0.94826,             0.66578,            0.020467,           0.0035898,          4.6216e-05,            0.004357,            0.004357,            0.004357
                  59,            0.021088,           0.0042667,          6.5971e-05,             0.92634,             0.91275,             0.94781,             0.66667,            0.020481,           0.0035752,          4.5955e-05,            0.004258,            0.004258,            0.004258
                  60,             0.02116,           0.0044612,          6.3883e-05,             0.93455,             0.90989,             0.94863,             0.66625,            0.020433,           0.0035663,          4.5415e-05,            0.004159,            0.004159,            0.004159
                  61,             0.02057,           0.0043006,          6.1477e-05,             0.93454,              0.9119,             0.94922,              0.6672,            0.020361,           0.0035505,          4.4966e-05,             0.00406,             0.00406,             0.00406
                  62,            0.021092,           0.0042765,          6.4181e-05,             0.93739,             0.91365,             0.95077,             0.67097,            0.020335,           0.0035407,          4.3542e-05,            0.003961,            0.003961,            0.003961
                  63,            0.020377,           0.0041939,          6.2637e-05,             0.93593,             0.91641,              0.9512,             0.67265,            0.020297,           0.0035451,          4.2886e-05,            0.003862,            0.003862,            0.003862
                  64,            0.020465,           0.0042404,          6.1207e-05,             0.93104,             0.91474,             0.95162,             0.67249,             0.02032,             0.00354,          4.1728e-05,            0.003763,            0.003763,            0.003763
                  65,             0.02021,           0.0042123,          5.9261e-05,             0.94298,             0.90073,             0.95061,             0.67294,            0.020337,           0.0035368,          4.1838e-05,            0.003664,            0.003664,            0.003664
                  66,            0.019904,           0.0041231,           5.829e-05,             0.93789,             0.91189,             0.95174,             0.67489,            0.020254,            0.003544,          4.0707e-05,            0.003565,            0.003565,            0.003565
                  67,             0.02036,           0.0042794,          5.7696e-05,             0.93956,             0.91303,               0.952,             0.67534,            0.020262,           0.0035397,          3.9767e-05,            0.003466,            0.003466,            0.003466
                  68,            0.020212,           0.0041498,          6.5848e-05,             0.94208,             0.91075,             0.95234,             0.67739,            0.020236,           0.0035208,          3.9083e-05,            0.003367,            0.003367,            0.003367
                  69,            0.019778,           0.0041339,          5.6677e-05,             0.94594,             0.90847,             0.95301,             0.67879,            0.020198,           0.0035108,          3.8585e-05,            0.003268,            0.003268,            0.003268
                  70,            0.019342,           0.0040653,          5.5439e-05,             0.94798,             0.90941,             0.95337,             0.67904,            0.020157,            0.003518,          3.8719e-05,            0.003169,            0.003169,            0.003169
                  71,            0.019806,           0.0040415,          5.4874e-05,               0.944,             0.91075,             0.95312,             0.67988,            0.020127,             0.00352,          3.8437e-05,             0.00307,             0.00307,             0.00307
                  72,            0.019313,           0.0040395,          5.2064e-05,             0.94218,             0.91074,             0.95331,             0.68099,            0.020074,           0.0035185,          3.7859e-05,            0.002971,            0.002971,            0.002971
                  73,            0.018835,           0.0039418,          5.1111e-05,             0.94386,             0.91092,              0.9537,             0.68102,            0.020072,           0.0035109,          3.7501e-05,            0.002872,            0.002872,            0.002872
                  74,            0.019044,           0.0039678,          5.2003e-05,             0.94287,             0.91301,             0.95332,             0.68187,            0.020015,           0.0035155,          3.6894e-05,            0.002773,            0.002773,            0.002773
